City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Wind Direction,Weather,Country,Date
57,Arraial Do Cabo,-22.9661,-42.0278,76.08,88,10,23.62,41,clear sky,BR,2022-03-19 05:50:49
58,Mayo,38.8876,-76.5119,61.48,92,0,13.8,160,clear sky,US,2022-03-19 05:50:50
59,Mount Isa,-20.7333,139.5,100.17,17,40,9.22,210,scattered clouds,AU,2022-03-19 05:50:50
60,Kirkwall,58.9848,-2.9587,44.65,81,81,12.66,180,broken clouds,GB,2022-03-19 05:50:51
61,Georgetown,5.4112,100.3354,91.33,70,20,9.22,230,few clouds,MY,2022-03-19 05:50:51
62,Alofi,-19.0595,-169.9187,82.29,78,96,4.61,10,overcast clouds,NU,2022-03-19 05:50:52
63,Namatanai,-3.6667,152.4333,84.94,65,90,11.45,67,overcast clouds,PG,2022-03-19 05:50:52
64,Qaanaaq,77.484,-69.3632,-9.71,90,100,6.08,66,overcast clouds,GL,2022-03-19 05:50:53
65,Port Lincoln,-34.7333,135.8667,77.52,58,67,9.44,181,broken clouds,AU,2022-03-19 05:50:53
66,Hobart,-42.8794,147.3294,72.23,58,20,12.66,150,few clouds,AU,2022-03-19 05:47:45
67,Antropovo,58.3988,43.0066,30.09,88,94,5.41,301,overcast clouds,RU,2022-03-19 05:50:54
68,Saint-Philippe,-21.3585,55.7679,85.21,81,38,1.19,216,scattered clouds,RE,2022-03-19 05:50:54
69,Gitega,-3.5,29.95,63.93,83,30,0.65,292,scattered clouds,BI,2022-03-19 05:50:55
70,Kasempa,-13.4584,25.8338,65.07,93,96,5.53,83,overcast clouds,ZM,2022-03-19 05:50:55
71,Barrow,71.2906,-156.7887,-14.78,76,0,10.36,230,clear sky,US,2022-03-19 05:50:56
72,Zhizdra,53.746,34.7395,25.92,86,74,3.42,15,broken clouds,RU,2022-03-19 05:50:57
73,Omboue,-1.5746,9.2618,77.23,91,93,8.57,146,light rain,GA,2022-03-19 05:50:57
74,Carmo Do Paranaiba,-19.0008,-46.3161,62.74,94,11,2.82,137,few clouds,BR,2022-03-19 05:50:57
75,Takhtamygda,54.1,123.5667,17.47,52,57,3.89,278,broken clouds,RU,2022-03-19 05:50:58
76,Saldanha,-33.0117,17.9442,60.85,75,20,7.14,176,few clouds,ZA,2022-03-19 05:50:59
77,Lebu,-37.6167,-73.65,55.11,75,100,12.8,178,overcast clouds,CL,2022-03-19 05:50:59
78,Longyearbyen,78.2186,15.6401,24.64,80,40,9.22,140,scattered clouds,SJ,2022-03-19 05:51:00
79,Palmer,42.1584,-72.3287,55.67,72,75,5.75,200,broken clouds,US,2022-03-19 05:51:00
80,Teya,60.3778,92.6267,22.77,85,100,9.78,247,overcast clouds,RU,2022-03-19 05:51:01
81,Cidreira,-30.1811,-50.2056,72.41,92,100,15.57,233,light rain,BR,2022-03-19 05:51:01
82,Bugko,12.5356,124.7923,89.19,60,76,10.76,52,broken clouds,PH,2022-03-19 05:51:02
83,Abu Samrah,35.3029,37.1841,37.6,91,99,7.0,12,overcast clouds,SY,2022-03-19 05:51:02
84,Butaritari,3.0707,172.7902,81.41,80,17,20.42,82,light rain,KI,2022-03-19 05:51:03
85,New Norfolk,-42.7826,147.0587,71.89,36,5,1.99,29,clear sky,AU,2022-03-19 05:51:04
86,Altamira,-3.2033,-52.2064,71.8,100,100,1.95,82,overcast clouds,BR,2022-03-19 05:51:04
87,Kavaratti,10.5669,72.642,83.66,66,91,10.31,268,overcast clouds,IN,2022-03-19 05:51:05
88,Hay River,60.8156,-115.7999,6.78,85,20,4.61,80,few clouds,CA,2022-03-19 05:50:20
89,Tuktoyaktuk,69.4541,-133.0374,-11.2,77,75,12.66,300,light snow,CA,2022-03-19 05:51:06
90,Nikolskoye,59.7035,30.7861,37.87,91,71,3.85,280,broken clouds,RU,2022-03-19 05:51:06
91,Laguna,38.421,-121.4238,59.43,67,0,9.22,210,clear sky,US,2022-03-19 05:52:06
92,Houma,29.5958,-90.7195,64.4,60,18,8.99,293,few clouds,US,2022-03-19 05:52:07
93,Namibe,-15.1961,12.1522,73.53,63,96,9.33,177,overcast clouds,AO,2022-03-19 05:52:07
94,Oneonta,42.4529,-75.0638,58.84,77,100,9.44,155,overcast clouds,US,2022-03-19 05:52:08
95,Harnosand,62.6323,17.9379,32.0,73,16,14.12,214,few clouds,SE,2022-03-19 05:52:08
96,Flinders,-34.5833,150.8552,73.38,72,95,5.99,234,overcast clouds,AU,2022-03-19 05:52:09
97,Rocha,-34.4833,-54.3333,56.91,67,85,11.77,194,overcast clouds,UY,2022-03-19 05:52:09
98,Bonthe,7.5264,-12.505,75.51,86,92,3.58,302,overcast clouds,SL,2022-03-19 05:52:10
99,Lata,40.1629,-8.3327,45.91,71,2,8.28,110,clear sky,PT,2022-03-19 05:52:10
100,Tura,25.5198,90.2201,93.94,20,22,6.46,235,few clouds,IN,2022-03-19 05:52:11
