City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
176,Kashan,IR,51.39,clear sky,33.9831,51.4364,Manouchehri Traditional House
177,Ajdabiya,LY,53.44,broken clouds,30.7554,20.2263,Almadina Hotel
178,Fortuna,US,47.66,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
182,Airai,TL,70.97,overcast clouds,-8.9266,125.4092,
184,Sikonge,TZ,68.97,broken clouds,-5.6333,32.7667,Pretoria 2 Lodge
185,Birao,CF,72.46,scattered clouds,10.2849,22.7882,
186,Porto Belo,BR,74.25,light rain,-27.1578,-48.5531,Costa Verde Beach Hotel
189,Manjakandriana,MG,65.89,overcast clouds,-18.9167,47.8,Ampahikely Manjakandriana
193,Ibipeba,BR,65.44,scattered clouds,-11.6408,-42.0111,Quitanda santos
195,Constitucion,CL,60.93,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
196,Jinchang,CN,50.5,scattered clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
202,Praia Da Vitoria,PT,50.25,broken clouds,38.7333,-27.0667,Hotel Branco I
203,East London,ZA,70.74,clear sky,-33.0153,27.9116,Tu Casa
205,Riverton,US,45.25,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
210,Canavieiras,BR,73.18,broken clouds,-15.675,-38.9472,Bahiadomizil
211,Dunedin,NZ,56.8,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
213,Chlorakas,CY,47.28,broken clouds,34.8042,32.4083,Elysium Hotel
214,Great Yarmouth,GB,45.45,clear sky,52.6083,1.7305,Comfort Hotel Great Yarmouth
216,Jalu,LY,54.32,scattered clouds,29.0331,21.5482,صاحبة الفخامة
218,Matamoros,MX,59.67,few clouds,25.5333,-103.25,Quinta Belem
219,Antas,PT,49.68,broken clouds,41.7364,-8.3089,Casa da Veiga - Turismo Rural Geres
221,Russell,US,63.68,overcast clouds,32.3502,-85.1999,Macs
228,Chicama,PE,71.53,broken clouds,-7.8447,-79.1469,Balihai Bungalows
240,San Patricio,US,68.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
243,Almeirim,BR,72.18,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
245,Jijiga,ET,72.5,scattered clouds,9.35,42.8,RAMAAS HOTEL
246,Keighley,GB,47.71,clear sky,53.8679,-1.9066,Premier Inn Bradford North (Bingley) hotel
260,Faya,SA,60.91,few clouds,18.3851,42.4509,املاك خالد الشعشوع
263,Castro,BR,64.71,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
267,Touba,CI,72.37,overcast clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
269,Monkey Bay,MW,74.52,overcast clouds,-14.0728,34.9201,Monkey Bay Beach Lodge
270,Warren,US,59.49,heavy intensity rain,39.4334,-84.1666,The Golden Lamb Restaurant & Hotel
273,Yomou,GN,69.96,overcast clouds,7.5603,-9.2653,
274,Edeia,BR,68.31,few clouds,-17.3383,-49.9314,Hotel Imperial Edeia
277,Rognan,NO,46.54,moderate rain,67.0953,15.3878,Rognan Hotell
281,Cuenca,EC,59.13,overcast clouds,-2.8833,-78.9833,Hotel Cuenca
282,Santo Antonio Da Platina,BR,69.87,overcast clouds,-23.295,-50.0772,Hotel Kanôa Tropical
283,Virginia Beach,US,64.45,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
284,Portland,US,53.02,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
285,Asfi,MA,57.09,clear sky,32.2994,-9.2372,Hôtel Abda
286,Carson City,US,54.43,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
289,Maceio,BR,72.84,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
290,Almenara,BR,67.15,light rain,-16.1836,-40.6944,Pousada Estância
293,Detroit,US,47.25,light rain,42.3314,-83.0458,Atheneum Suite Hotel
294,Coquimbo,CL,58.73,mist,-29.9533,-71.3436,Hotel San Juan
296,Cabo San Lucas,MX,68.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
299,Venice,US,72.99,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
301,Meadow Lake,US,46.13,few clouds,34.8014,-106.5436,TumbleWeed RV Park
304,Ancud,CL,47.08,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
305,Tetouan,MA,56.17,broken clouds,35.5711,-5.3724,Athens Hôtel
307,Puerto Narino,CO,73.36,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
310,Najran,SA,59.65,few clouds,17.4924,44.1277,محمد هادي ال فطيح
318,Bandar-E Lengeh,IR,73.51,clear sky,26.5579,54.8807,کافی نت پارس
320,Linxia,CN,55.94,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
321,Awjilah,LY,54.73,broken clouds,29.1081,21.2869,المنزل
326,Ponta Do Sol,PT,63.05,overcast clouds,32.6667,-17.1,Hotel do Campo
329,Sesheke,ZM,66.04,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
331,Stranda,NO,48.54,broken clouds,62.3096,6.9358,Stranda Feriesenter
332,Paita,PE,73.71,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
339,Ponta Delgada,PT,52.52,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
340,Necochea,AR,49.66,clear sky,-38.5473,-58.7368,dyd -mar Hotel
342,La Palma,US,67.95,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
